ISBN|DNBID|DNBURI|OCLC|GND|DDC|TOC|AUTHORID|SACHGRUPPEN
9783899713800|['983818592']|['http://d-nb.info/983818592']|['(OColc)723620487']|['119034921', '811226-5']|['750.74443954']|['983818592/04']|['130663727']|['750 Malerei ; 060 Organisationen, Museumswissenschaft']

9783862348497|['1052113451']|['http://d-nb.info/1052113451']|['(OColc)882502157']|['118889664', '4050479-7', '4001671-7', '4156971-4', '4742434-5', '4113748-6', '4639552-0']|['813.54']|[]|['1017381348']|['810 Englische Literatur Amerikas']

9783899718706|['1011087251']|['http://d-nb.info/1011087251']|['(OColc)725110446']|['118504134', '4075166-1', '4069996-1', '118504134', '4246767-6', '4117192-5']|['248.4092']|['1011087251/04']|['1014547202']|['230 Theologie, Christentum']

9783899711929|['972694854']|['http://d-nb.info/972694854']|['(OColc)723435945']|['4051038-4', '4143683-0', '4122349-4']|[]|['972694854/04']|[]|['890 Literatur in anderen Sprachen ; 940 Geschichte Europas']

9783899718034|['1008236942']|['http://d-nb.info/1008236942']|['(OColc)746129803']|['4137210-4', '4181897-0', '4061672-1', '4200793-8', '4020531-9']|['940.072']|['1008236942/04']|[]|['940 Geschichte Europas']

9783899715705|['992890969']|['http://d-nb.info/992890969']|['(OColc)436275260']|['4003509-8', '4001515-4', '4059758-1']|['221.04', '236.8']|['992890969/04']|['124700861']|['220 Bibel ; 230 Theologie, Christentum']

9783899713923|['98487349X']|['http://d-nb.info/98487349X']|['(OColc)182756627']|['4042570-8', '4525200-2', '4134942-8', '4006292-2']|['363.5946094355']|['98487349X/04']|['1028996136']|['360 Soziale Probleme, Sozialdienste, Versicherungen']

9783899711783|['971585342']|['http://d-nb.info/971585342']|['(OColc)318042047']|['4011882-4', '4131215-6']|[]|['971585342/04']|['129452874']|['340 Recht']

